,,Bee,Bee,Bee,Bee,NoBee,NoBee,NoBee,NoBee,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,model_id,n_train_samples,seed,round_i,new_recording
,accuracy,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,,,,,
0,0.652,0.573,0.74,0.468,15656.0,0.706,0.611,0.836,15656.0,0.639,0.675,0.652,31312.0,0.639,0.675,0.652,31312.0,33897_0_12506,12506,33897,0,training_data_28062021_1420_1a
1,0.726,0.68,0.815,0.583,15656.0,0.76,0.676,0.868,15656.0,0.72,0.745,0.726,31312.0,0.72,0.745,0.726,31312.0,33897_1_26464,26464,33897,1,training_data_03072021_1111_1a
2,0.701,0.693,0.712,0.675,15656.0,0.709,0.691,0.727,15656.0,0.701,0.701,0.701,31312.0,0.701,0.701,0.701,31312.0,33897_2_28516,28516,33897,2,training_data_new_2_1272021_1425_4a
3,0.713,0.687,0.755,0.63,15656.0,0.735,0.683,0.796,15656.0,0.711,0.719,0.713,31312.0,0.711,0.719,0.713,31312.0,33897_3_37292,37292,33897,3,training_data_new_2_09072021_1531_2b
4,0.748,0.726,0.795,0.668,15656.0,0.766,0.714,0.827,15656.0,0.746,0.754,0.748,31312.0,0.746,0.754,0.748,31312.0,33897_4_49856,49856,33897,4,training_data_09072021_1523_1a
5,0.769,0.747,0.829,0.679,15656.0,0.788,0.728,0.859,15656.0,0.768,0.778,0.769,31312.0,0.768,0.778,0.769,31312.0,33897_5_50584,50584,33897,5,training_data_new_2_11062021__21
6,0.764,0.731,0.85,0.642,15656.0,0.79,0.712,0.887,15656.0,0.761,0.781,0.764,31312.0,0.761,0.781,0.764,31312.0,33897_6_70516,70516,33897,6,training_data_new_10072021_1318_4b
7,0.732,0.687,0.826,0.588,15656.0,0.766,0.68,0.876,15656.0,0.727,0.753,0.732,31312.0,0.727,0.753,0.732,31312.0,33897_7_74812,74812,33897,7,training_data_new_2_01062021_1439_2
8,0.771,0.734,0.876,0.631,15656.0,0.799,0.712,0.911,15656.0,0.766,0.794,0.771,31312.0,0.766,0.794,0.771,31312.0,33897_8_81138,81138,33897,8,training_data_new_2_03072021_1138_4a
9,0.768,0.723,0.897,0.605,15656.0,0.8,0.702,0.931,15656.0,0.762,0.8,0.768,31312.0,0.762,0.8,0.768,31312.0,33897_9_95540,95540,33897,9,training_data_new_09072021_1549_4a
10,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,33897_10_110154,110154,33897,10,training_data_new_27062021_1208_1b
11,0.765,0.72,0.892,0.603,15656.0,0.798,0.7,0.927,15656.0,0.759,0.796,0.765,31312.0,0.759,0.796,0.765,31312.0,33897_11_120104,120104,33897,11,training_data_new_03072021_1111_1b
12,0.774,0.737,0.883,0.632,15656.0,0.802,0.714,0.916,15656.0,0.77,0.798,0.774,31312.0,0.77,0.798,0.774,31312.0,33897_12_123440,123440,33897,12,training_data_new_28062021_1420_1b
13,0.769,0.727,0.89,0.614,15656.0,0.8,0.706,0.924,15656.0,0.763,0.798,0.769,31312.0,0.763,0.798,0.769,31312.0,33897_13_124004,124004,33897,13,training_data_new_2_08072021__4b
14,0.753,0.696,0.905,0.566,15656.0,0.792,0.684,0.941,15656.0,0.744,0.794,0.753,31312.0,0.744,0.794,0.753,31312.0,33897_14_128594,128594,33897,14,training_data_12072021_1401_1a
15,0.79,0.761,0.883,0.669,15656.0,0.813,0.734,0.912,15656.0,0.787,0.809,0.79,31312.0,0.787,0.809,0.79,31312.0,33897_15_133088,133088,33897,15,training_data_new_2_28062021_1502_6a
16,0.804,0.793,0.84,0.751,15656.0,0.814,0.775,0.857,15656.0,0.804,0.808,0.804,31312.0,0.804,0.808,0.804,31312.0,33897_16_135102,135102,33897,16,training_data_new_2_1272021_1442_6b
17,0.77,0.727,0.891,0.615,15656.0,0.801,0.706,0.925,15656.0,0.764,0.798,0.77,31312.0,0.764,0.798,0.77,31312.0,33897_17_135304,135304,33897,17,training_data_new_19062021_1715_1a
18,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,33897_18_145760,145760,33897,18,training_data_10072021_1452_1a
19,0.771,0.729,0.895,0.615,15656.0,0.802,0.707,0.928,15656.0,0.765,0.801,0.771,31312.0,0.765,0.801,0.771,31312.0,33897_19_151826,151826,33897,19,training_data_21062021_1311_1a
20,0.774,0.73,0.905,0.611,15656.0,0.805,0.706,0.936,15656.0,0.767,0.806,0.774,31312.0,0.767,0.806,0.774,31312.0,33897_20_159248,159248,33897,20,training_data_new_2_27062021_1246_6a
21,0.794,0.766,0.886,0.675,15656.0,0.816,0.738,0.913,15656.0,0.791,0.812,0.794,31312.0,0.791,0.812,0.794,31312.0,33897_21_161658,161658,33897,21,training_data_new_1272021_1401_1a
22,0.68,0.68,0.681,0.68,15656.0,0.681,0.68,0.681,15656.0,0.68,0.68,0.68,31312.0,0.68,0.68,0.68,31312.0,24971723_0_13958,13958,24971723,0,training_data_03072021_1111_1a
23,0.729,0.712,0.76,0.669,15656.0,0.744,0.705,0.788,15656.0,0.728,0.732,0.729,31312.0,0.728,0.732,0.729,31312.0,24971723_1_14686,14686,24971723,1,training_data_new_2_11062021__21
24,0.699,0.628,0.822,0.508,15656.0,0.747,0.644,0.89,15656.0,0.688,0.733,0.699,31312.0,0.688,0.733,0.699,31312.0,24971723_2_21012,21012,24971723,2,training_data_new_2_03072021_1138_4a
25,0.704,0.709,0.698,0.722,15656.0,0.699,0.712,0.687,15656.0,0.704,0.705,0.704,31312.0,0.704,0.705,0.704,31312.0,24971723_3_23064,23064,24971723,3,training_data_new_2_1272021_1425_4a
26,0.725,0.707,0.757,0.662,15656.0,0.741,0.7,0.788,15656.0,0.724,0.729,0.725,31312.0,0.724,0.729,0.725,31312.0,24971723_4_25078,25078,24971723,4,training_data_new_2_1272021_1442_6b
27,0.737,0.716,0.779,0.662,15656.0,0.756,0.706,0.812,15656.0,0.736,0.743,0.737,31312.0,0.736,0.743,0.737,31312.0,24971723_5_25280,25280,24971723,5,training_data_new_19062021_1715_1a
28,0.735,0.669,0.89,0.536,15656.0,0.779,0.668,0.934,15656.0,0.724,0.779,0.735,31312.0,0.724,0.779,0.735,31312.0,24971723_6_39682,39682,24971723,6,training_data_new_09072021_1549_4a
29,0.776,0.759,0.822,0.706,15656.0,0.791,0.742,0.847,15656.0,0.775,0.782,0.776,31312.0,0.775,0.782,0.776,31312.0,24971723_7_59614,59614,24971723,7,training_data_new_10072021_1318_4b
30,0.777,0.746,0.868,0.653,15656.0,0.802,0.722,0.901,15656.0,0.774,0.795,0.777,31312.0,0.774,0.795,0.777,31312.0,24971723_8_64108,64108,24971723,8,training_data_new_2_28062021_1502_6a
31,0.678,0.6,0.791,0.484,15656.0,0.73,0.628,0.872,15656.0,0.665,0.709,0.678,31312.0,0.665,0.709,0.678,31312.0,24971723_9_70174,70174,24971723,9,training_data_21062021_1311_1a
32,0.698,0.627,0.818,0.509,15656.0,0.746,0.644,0.887,15656.0,0.687,0.731,0.698,31312.0,0.687,0.731,0.698,31312.0,24971723_10_74470,74470,24971723,10,training_data_new_2_01062021_1439_2
33,0.685,0.606,0.81,0.484,15656.0,0.738,0.632,0.886,15656.0,0.672,0.721,0.685,31312.0,0.672,0.721,0.685,31312.0,24971723_11_86976,86976,24971723,11,training_data_28062021_1420_1a
34,0.713,0.654,0.823,0.542,15656.0,0.755,0.659,0.883,15656.0,0.704,0.741,0.713,31312.0,0.704,0.741,0.713,31312.0,24971723_12_90312,90312,24971723,12,training_data_new_28062021_1420_1b
35,0.769,0.725,0.893,0.611,15656.0,0.8,0.704,0.927,15656.0,0.763,0.798,0.769,31312.0,0.763,0.798,0.769,31312.0,24971723_13_104926,104926,24971723,13,training_data_new_27062021_1208_1b
36,0.788,0.759,0.879,0.668,15656.0,0.811,0.732,0.908,15656.0,0.785,0.805,0.788,31312.0,0.785,0.805,0.788,31312.0,24971723_14_107336,107336,24971723,14,training_data_new_1272021_1401_1a
37,0.7,0.586,0.944,0.425,15656.0,0.764,0.629,0.975,15656.0,0.675,0.786,0.7,31312.0,0.675,0.786,0.7,31312.0,24971723_15_117792,117792,24971723,15,training_data_10072021_1452_1a
38,0.778,0.745,0.878,0.647,15656.0,0.804,0.72,0.91,15656.0,0.774,0.799,0.778,31312.0,0.774,0.799,0.778,31312.0,24971723_16_127742,127742,24971723,16,training_data_new_03072021_1111_1b
39,0.778,0.733,0.92,0.609,15656.0,0.81,0.708,0.947,15656.0,0.771,0.814,0.778,31312.0,0.771,0.814,0.778,31312.0,24971723_17_136518,136518,24971723,17,training_data_new_2_09072021_1531_2b
40,0.796,0.768,0.888,0.677,15656.0,0.817,0.739,0.914,15656.0,0.793,0.813,0.796,31312.0,0.793,0.813,0.796,31312.0,24971723_18_143940,143940,24971723,18,training_data_new_2_27062021_1246_6a
41,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,24971723_19_144504,144504,24971723,19,training_data_new_2_08072021__4b
42,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,24971723_20_149094,149094,24971723,20,training_data_12072021_1401_1a
43,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,24971723_21_161658,161658,24971723,21,training_data_09072021_1523_1a
44,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,None_0_4296,4296,13,0,training_data_new_2_01062021_1439_2
45,0.716,0.679,0.78,0.601,15656.0,0.745,0.675,0.831,15656.0,0.712,0.728,0.716,31312.0,0.712,0.728,0.716,31312.0,None_1_16860,16860,13,1,training_data_09072021_1523_1a
46,0.69,0.639,0.764,0.55,15656.0,0.728,0.648,0.83,15656.0,0.684,0.706,0.69,31312.0,0.684,0.706,0.69,31312.0,None_2_26810,26810,13,2,training_data_new_03072021_1111_1b
47,0.707,0.646,0.818,0.534,15656.0,0.751,0.654,0.881,15656.0,0.698,0.736,0.707,31312.0,0.698,0.736,0.707,31312.0,None_3_31400,31400,13,3,training_data_12072021_1401_1a
48,0.72,0.666,0.827,0.557,15656.0,0.759,0.666,0.883,15656.0,0.713,0.746,0.72,31312.0,0.713,0.746,0.72,31312.0,None_4_37726,37726,13,4,training_data_new_2_03072021_1138_4a
49,0.719,0.671,0.807,0.575,15656.0,0.754,0.67,0.863,15656.0,0.713,0.738,0.719,31312.0,0.713,0.738,0.719,31312.0,None_5_51684,51684,13,5,training_data_03072021_1111_1a
50,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,None_6_60460,60460,13,6,training_data_new_2_09072021_1531_2b
51,0.777,0.744,0.872,0.65,15656.0,0.802,0.721,0.904,15656.0,0.773,0.796,0.777,31312.0,0.773,0.796,0.777,31312.0,None_7_62870,62870,13,7,training_data_new_1272021_1401_1a
52,0.774,0.742,0.866,0.648,15656.0,0.799,0.719,0.9,15656.0,0.77,0.793,0.774,31312.0,0.77,0.793,0.774,31312.0,None_8_77484,77484,13,8,training_data_new_27062021_1208_1b
53,0.764,0.722,0.877,0.614,15656.0,0.795,0.703,0.913,15656.0,0.759,0.79,0.764,31312.0,0.759,0.79,0.764,31312.0,None_9_78212,78212,13,9,training_data_new_2_11062021__21
54,0.758,0.709,0.889,0.589,15656.0,0.793,0.693,0.926,15656.0,0.751,0.791,0.758,31312.0,0.751,0.791,0.758,31312.0,None_10_88668,88668,13,10,training_data_10072021_1452_1a
55,0.78,0.749,0.874,0.655,15656.0,0.805,0.724,0.906,15656.0,0.777,0.799,0.78,31312.0,0.777,0.799,0.78,31312.0,None_11_93162,93162,13,11,training_data_new_2_28062021_1502_6a
56,0.782,0.757,0.856,0.678,15656.0,0.803,0.733,0.886,15656.0,0.78,0.795,0.782,31312.0,0.78,0.795,0.782,31312.0,None_12_95214,95214,13,12,training_data_new_2_1272021_1425_4a
57,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,None_13_97228,97228,13,13,training_data_new_2_1272021_1442_6b
58,0.769,0.725,0.897,0.608,15656.0,0.801,0.704,0.931,15656.0,0.763,0.801,0.769,31312.0,0.763,0.801,0.769,31312.0,None_14_117160,117160,13,14,training_data_new_10072021_1318_4b
59,0.788,0.764,0.865,0.683,15656.0,0.808,0.738,0.893,15656.0,0.786,0.802,0.788,31312.0,0.786,0.802,0.788,31312.0,None_15_117362,117362,13,15,training_data_new_19062021_1715_1a
60,0.796,0.771,0.878,0.686,15656.0,0.816,0.743,0.905,15656.0,0.793,0.811,0.796,31312.0,0.793,0.811,0.796,31312.0,None_16_129868,129868,13,16,training_data_28062021_1420_1a
61,0.777,0.736,0.905,0.62,15656.0,0.808,0.711,0.935,15656.0,0.772,0.808,0.777,31312.0,0.772,0.808,0.777,31312.0,None_17_133204,133204,13,17,training_data_new_28062021_1420_1b
62,0.808,0.792,0.864,0.731,15656.0,0.821,0.767,0.885,15656.0,0.807,0.815,0.808,31312.0,0.807,0.815,0.808,31312.0,None_18_139270,139270,13,18,training_data_21062021_1311_1a
63,0.784,0.749,0.895,0.644,15656.0,0.811,0.722,0.925,15656.0,0.78,0.809,0.784,31312.0,0.78,0.809,0.784,31312.0,None_19_146692,146692,13,19,training_data_new_2_27062021_1246_6a
64,0.5,0.0,0.0,0.0,15656.0,0.667,0.5,1.0,15656.0,0.333,0.25,0.5,31312.0,0.333,0.25,0.5,31312.0,None_20_147256,147256,13,20,training_data_new_2_08072021__4b
65,0.499,0.013,0.457,0.007,15656.0,0.665,0.5,0.992,15656.0,0.339,0.478,0.499,31312.0,0.339,0.478,0.499,31312.0,None_21_161658,161658,13,21,training_data_new_09072021_1549_4a
66,0.5,0.002,0.576,0.001,15656.0,0.667,0.5,0.999,15656.0,0.334,0.538,0.5,31312.0,0.334,0.538,0.5,31312.0,sorted_by_effectiveness_0_6066,6066,sorted_by_effectiveness,0,training_data_21062021_1311_1a
67,0.649,0.671,0.631,0.717,15656.0,0.624,0.672,0.582,15656.0,0.647,0.652,0.649,31312.0,0.647,0.652,0.649,31312.0,sorted_by_effectiveness_1_16016,16016,sorted_by_effectiveness,1,training_data_new_03072021_1111_1b
68,0.653,0.671,0.637,0.709,15656.0,0.632,0.672,0.597,15656.0,0.652,0.655,0.653,31312.0,0.652,0.655,0.653,31312.0,sorted_by_effectiveness_2_18426,18426,sorted_by_effectiveness,2,training_data_new_1272021_1401_1a
69,0.658,0.661,0.656,0.665,15656.0,0.656,0.66,0.652,15656.0,0.658,0.658,0.658,31312.0,0.658,0.658,0.658,31312.0,sorted_by_effectiveness_3_19154,19154,sorted_by_effectiveness,3,training_data_new_2_11062021__21
70,0.708,0.667,0.776,0.586,15656.0,0.74,0.667,0.831,15656.0,0.704,0.721,0.708,31312.0,0.704,0.721,0.708,31312.0,sorted_by_effectiveness_4_23648,23648,sorted_by_effectiveness,4,training_data_new_2_28062021_1502_6a
71,0.708,0.674,0.764,0.602,15656.0,0.736,0.672,0.814,15656.0,0.705,0.718,0.708,31312.0,0.705,0.718,0.708,31312.0,sorted_by_effectiveness_5_36154,36154,sorted_by_effectiveness,5,training_data_28062021_1420_1a
72,0.674,0.581,0.815,0.451,15656.0,0.734,0.621,0.898,15656.0,0.657,0.718,0.674,31312.0,0.657,0.718,0.674,31312.0,sorted_by_effectiveness_6_56086,56086,sorted_by_effectiveness,6,training_data_new_10072021_1318_4b
73,0.664,0.555,0.818,0.42,15656.0,0.729,0.61,0.907,15656.0,0.642,0.714,0.664,31312.0,0.642,0.714,0.664,31312.0,sorted_by_effectiveness_7_62412,62412,sorted_by_effectiveness,7,training_data_new_2_03072021_1138_4a
74,0.527,0.124,0.847,0.067,15656.0,0.676,0.514,0.988,15656.0,0.4,0.68,0.527,31312.0,0.4,0.68,0.527,31312.0,sorted_by_effectiveness_8_65748,65748,sorted_by_effectiveness,8,training_data_new_28062021_1420_1b
